Row,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10,cluster_11,cluster_12,cluster_13,cluster_14,cluster_15,cluster_16,cluster_17,cluster_18
"L INS Area Id1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R INS Area Id1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L INS Area Id2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R INS Area Id2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L INS Area Id3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R INS Area Id3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L INS Area Id4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R INS Area Id4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L INS Area Id5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R INS Area Id5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
